pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Luis Martínez; Diario El Mundo ;positiva;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Oti Rodríguez Marchante; Diario ABC ;positiva;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Carlos Pumares; Diario La Razón ;positiva;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Beatriz Martínez; Fotogramas ;positiva;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Jordi Batlle Caminal; Diario La Vanguardia ;neutral;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Andrea G. Bermejo; Cinemanía ;neutral;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
A Caribbean Dream;2017;82 min.;Shakirah Bourne;Romance;Cath Clarke; The Guardian ;positiva;Susannah Harker,Adrian Green,Sam Gillett,Jherad Alleyne,Marina Bye,Aden Gillett,Sonia Williams,Patrick Michael Foster,Lorna Gayle,Keshia Pope,Tiffany Skinner,Shakira Forde,Kaya Bellori,Shannon Arthur,Simon Alleyne,Angelo Lascelles,Ishiaka McNeil,Matthew Murrell
A casa por navidad;2010;90 min.;Bent Hamer;Comedia;Carlos Boyero; Diario El País ;negativa;Trond Fausa Aurvåg,Fridtjof Såheim,Nina Andresen Borud,Reidar Sørensen,Ingunn Beate Øyen,Joachim Calmeyer,Issaka Sawadogo
A casa por navidad;2010;90 min.;Bent Hamer;Comedia;Luis Martínez; Diario El Mundo ;negativa;Trond Fausa Aurvåg,Fridtjof Såheim,Nina Andresen Borud,Reidar Sørensen,Ingunn Beate Øyen,Joachim Calmeyer,Issaka Sawadogo
A casa por navidad;2010;90 min.;Bent Hamer;Comedia;Sergi Sánchez; Diario La Razón ;negativa;Trond Fausa Aurvåg,Fridtjof Såheim,Nina Andresen Borud,Reidar Sørensen,Ingunn Beate Øyen,Joachim Calmeyer,Issaka Sawadogo
A casa por navidad;2010;90 min.;Bent Hamer;Comedia;Desirée de Fez; Fotogramas ;neutral;Trond Fausa Aurvåg,Fridtjof Såheim,Nina Andresen Borud,Reidar Sørensen,Ingunn Beate Øyen,Joachim Calmeyer,Issaka Sawadogo
A casa por navidad;2010;90 min.;Bent Hamer;Comedia;Sergio F. Pinilla; Cinemanía ;positiva;Trond Fausa Aurvåg,Fridtjof Såheim,Nina Andresen Borud,Reidar Sørensen,Ingunn Beate Øyen,Joachim Calmeyer,Issaka Sawadogo
A casa por vacaciones;1995;103 min.;Jodie Foster;Comedia;Fernando Morales; Diario El País ;positiva;Holly Hunter,Robert Downey Jr.,Anne Bancroft,Geraldine Chaplin,Charles Durning,Dylan McDermott,Steve Guttenberg,Claire Danes,Cynthia Stevenson,Shawn Hatosy
A Change in the Weather;2017;99 min.;Jon Sanders;Drama;Leslie Felperin; The Guardian ;positiva;Meret Becker,Douglas Finch,Maxine Finch,Emma Garden,Bob Goody,Seonaid Goody,Stephen Lowe,Anna Mottram,Tanya Myers,Constance Storey
A Change in the Weather;2017;99 min.;Jon Sanders;Drama;Ed Potton; The Times ;negativa;Meret Becker,Douglas Finch,Maxine Finch,Emma Garden,Bob Goody,Seonaid Goody,Stephen Lowe,Anna Mottram,Tanya Myers,Constance Storey
A Change in the Weather;2017;99 min.;Jon Sanders;Drama;Wendy Ide; The Guardian ;positiva;Meret Becker,Douglas Finch,Maxine Finch,Emma Garden,Bob Goody,Seonaid Goody,Stephen Lowe,Anna Mottram,Tanya Myers,Constance Storey
A Chorus Line;1985;120 min.;Richard Attenborough;Musical;Pablo Kurt; FILMAFFINITY ;positiva;Michael Douglas,Terrence Mann,Alyson Reed,Audrey Landers,Michael Blevins,Jan Gan Boyd,Yamil Borges
A Chorus Line;1985;120 min.;Richard Attenborough;Musical;Augusto M. Torres; Diario El País ;positiva;Michael Douglas,Terrence Mann,Alyson Reed,Audrey Landers,Michael Blevins,Jan Gan Boyd,Yamil Borges
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Sonia Saraiya; Variety ;negativa;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
